t,DIR,BAT,EX1,EX2
0.037122488021850586,"(316.0, 2499.6899461746216)","(604.0, 2499.6899461746216)","(761.0, 2499.6899461746216)","(812.0, 2499.6899461746216)"
0.0830237865447998,"(323.0, 2499.7418599128723)","(608.0, 2499.7418599128723)","(763.0, 2499.7408418655396)","(817.0, 2499.7418599128723)"
0.1275768280029297,"(338.0, 2499.780406475067)","(621.0, 2499.780406475067)","(791.0, 2499.780406475067)","(796.0, 2499.780406475067)"
0.17460155487060547,"(281.0, 2499.83345079422)","(555.0, 2499.83345079422)","(709.0, 2499.83345079422)","(761.0, 2499.83345079422)"
0.2531716823577881,"(367.0, 2499.9100048542023)","(668.0, 2499.9100048542023)","(755.0, 2499.911992073059)","(818.0, 2499.911992073059)"
0.29578685760498047,"(393.0, 2499.9536213874817)","(601.0, 2499.9536213874817)","(757.0, 2499.9546036720276)","(828.0, 2499.9546036720276)"
0.3527865409851074,"(393.0, 2500.008619070053)","(608.0, 2500.009617328644)","(767.0, 2500.0116028785706)","(841.0, 2500.0116028785706)"
0.3953282833099365,"(361.0, 2500.054161787033)","(641.0, 2500.054161787033)","(717.0, 2500.054161787033)","(783.0, 2500.054161787033)"
0.4443318843841553,"(275.0, 2500.1001465320587)","(554.0, 2500.1001465320587)","(699.0, 2500.1001465320587)","(745.0, 2500.1011476516724)"
0.48534202575683594,"(270.0, 2500.143171310425)","(556.0, 2500.143171310425)","(755.0, 2500.142150402069)","(794.0, 2500.143171310425)"
0.5289132595062256,"(318.0, 2500.1827273368835)","(613.0, 2500.1827273368835)","(777.0, 2500.1827273368835)","(754.0, 2500.1827273368835)"
0.584012508392334,"(281.0, 2500.2428357601166)","(556.0, 2500.2428357601166)","(756.0, 2500.2428357601166)","(806.0, 2500.2428357601166)"
0.6490378379821777,"(281.0, 2500.3028588294983)","(552.0, 2500.3028588294983)","(687.0, 2500.3028588294983)","(748.0, 2500.3028588294983)"
0.6936020851135254,"(335.0, 2500.351436853409)","(634.0, 2500.352436542511)","(797.0, 2500.352436542511)","(791.0, 2500.352436542511)"
0.7416260242462158,"(301.0, 2500.39643740654)","(591.0, 2500.39643740654)","(756.0, 2500.39643740654)","(808.0, 2500.3974282741547)"
0.7816064357757568,"(302.0, 2500.4404277801514)","(593.0, 2500.4414398670197)","(748.0, 2500.4404277801514)","(802.0, 2500.4404277801514)"
0.838127613067627,"(281.0, 2500.489972114563)","(553.0, 2500.489972114563)","(701.0, 2500.492956638336)","(760.0, 2500.492956638336)"
0.8801288604736328,"(303.0, 2500.538962364197)","(597.0, 2500.539959669113)","(730.0, 2500.538962364197)","(785.0, 2500.538962364197)"
0.9226677417755127,"(289.0, 2500.575475215912)","(568.0, 2500.575475215912)","(711.0, 2500.5775039196014)","(780.0, 2500.578497648239)"
0.9796512126922607,"(280.0, 2500.637496948242)","(551.0, 2500.637496948242)","(791.0, 2500.636500120163)","(776.0, 2500.637496948242)"
1.0541963577270508,"(354.0, 2500.71204328537)","(637.0, 2500.71204328537)","(807.0, 2500.71204328537)","(804.0, 2500.713030099869)"
1.101830244064331,"(318.0, 2500.760665655136)","(603.0, 2500.760665655136)","(758.0, 2500.760665655136)","(820.0, 2500.760665655136)"
1.1628303527832031,"(324.0, 2500.821666240692)","(613.0, 2500.821666240692)","(786.0, 2500.821666240692)","(764.0, 2500.821666240692)"
1.2125706672668457,"(345.0, 2500.870406150818)","(625.0, 2500.870406150818)","(786.0, 2500.870406150818)","(764.0, 2500.870406150818)"
1.3011422157287598,"(360.0, 2500.9589734077454)","(638.0, 2500.9589734077454)","(811.0, 2500.9589734077454)","(794.0, 2500.9589734077454)"
1.3621292114257812,"(304.0, 2501.018958091736)","(582.0, 2501.018958091736)","(750.0, 2501.018958091736)","(826.0, 2501.018958091736)"
1.4137318134307861,"(302.0, 2501.070562839508)","(601.0, 2501.070562839508)","(754.0, 2501.072590112686)","(814.0, 2501.072590112686)"
1.477707862854004,"(305.0, 2501.13454079628)","(586.0, 2501.13454079628)","(820.0, 2501.13454079628)","(801.0, 2501.13454079628)"
1.549267053604126,"(317.0, 2501.204102039337)","(600.0, 2501.204102039337)","(748.0, 2501.204102039337)","(799.0, 2501.204102039337)"
1.6113946437835693,"(303.0, 2501.269238948822)","(603.0, 2501.269238948822)","(762.0, 2501.27023935318)","(823.0, 2501.27023935318)"
1.677436113357544,"(290.0, 2501.3342683315277)","(567.0, 2501.3342683315277)","(733.0, 2501.333240509033)","(792.0, 2501.333240509033)"
1.715998888015747,"(298.0, 2501.3748354911804)","(579.0, 2501.3748354911804)","(730.0, 2501.375832796097)","(784.0, 2501.375832796097)"
1.767000436782837,"(289.0, 2501.4258151054382)","(561.0, 2501.4258151054382)","(779.0, 2501.4258151054382)","(767.0, 2501.4258151054382)"
1.8015289306640625,"(341.0, 2501.460362672806)","(630.0, 2501.460362672806)","(802.0, 2501.460362672806)","(787.0, 2501.460362672806)"
1.8545076847076416,"(332.0, 2501.511376619339)","(623.0, 2501.511376619339)","(798.0, 2501.5123887062073)","(794.0, 2501.5123887062073)"
1.8941600322723389,"(340.0, 2501.549993991852)","(624.0, 2501.549993991852)","(778.0, 2501.552976846695)","(767.0, 2501.552976846695)"
1.9371604919433594,"(332.0, 2501.593994140625)","(617.0, 2501.593994140625)","(772.0, 2501.594993829727)","(763.0, 2501.594993829727)"
1.9791560173034668,"(348.0, 2501.6359894275665)","(637.0, 2501.6370306015015)","(813.0, 2501.637985229492)","(812.0, 2501.637985229492)"
